population,oxidases
1,0.729
1,0.701
1,0.745
1,0.776
1,0.606
1,0.61
1,0.902
1,0.936
1,0.769
1,0.749
1,0.968
1,0.987
1,1.02
1,1.034
1,0.965
1,1.035
1,0.868
1,0.815
1,0.78
1,0.698
2,0.92
2,0.962
2,0.743
2,0.748
2,0.97
2,0.972
2,0.992
2,0.931
2,1.223
2,1.091
2,1.153
2,1.135
2,0.376
2,0.416
2,0.839
2,0.841
2,0.224
2,0.635
2,0.92
2,1.023
3,1.105
3,1.064
3,0.838
3,0.598
3,1.168
3,1.064
3,0.818
3,0.881
3,1.12
3,1.167
3,1.036
3,1.098
3,1.037
3,0.997
3,1.013
3,0.962
3,0.797
3,0.876
3,0.942
3,0.979
4,1.161
4,1.262
4,1.158
4,1.305
4,1.216
4,1.299
4,1.302
4,1.364
4,1.008
4,0.954
4,1.226
4,1.212
4,1.434
4,1.349
4,1.256
4,1.259
4,0.971
4,1.328
4,1.185
4,1.258
5,0.904
5,0.901
5,0.926
5,0.944
5,1.082
5,1.053
5,0.733
5,0.65
5,1.087
5,1.091
5,1.108
5,1.148
5,0.947
5,0.639
5,0.869
5,0.693
5,0.765
5,0.918
5,0.95
5,0.948
6,0.958
6,1.153
6,1.009
6,0.848
6,1.264
6,1.316
6,1.005
6,1.166
6,1.058
6,1.174
6,1.162
6,0.996
6,1.051
6,1.138
6,1.084
6,0.946
6,1.183
6,1.148
6,1.266
6,1.269
7,1.068
7,1.136
7,1.294
7,0.84
7,1.119
7,1.035
7,0.782
7,0.852
7,0.876
7,0.851
7,0.96
7,0.855
7,0.781
7,0.78
7,0.851
7,0.746
7,0.665
7,0.681
7,0.756
7,0.559
8,0.448
8,0.424
8,0.348
8,0.407
8,0.363
8,0.35
8,0.332
8,0.331
8,0.218
8,0.399
8,0.391
8,0.377
8,0.448
8,0.439
8,0.503
8,0.587
8,0.55
8,0.52
8,0.473
8,0.572
9,0.962
9,1.014
9,0.981
9,0.967
9,1.123
9,1.11
9,0.859
9,0.673
9,1.142
9,1.136
9,1.119
9,1.177
9,1.06
9,1.025
9,0.969
9,0.772
9,0.765
9,0.988
9,0.983
9,0.974
10,0.992
10,1.168
10,1.022
10,0.844
10,1.236
10,1.268
10,0.968
10,1.157
10,1.044
10,1.178
10,1.124
10,0.978
10,1.049
10,1.18
10,1.103
10,0.927
10,1.214
10,1.144
10,1.194
10,1.266
11,1.16
11,1.101
11,1.378
11,1.003
11,1.232
11,1.097
11,0.986
11,0.947
11,0.901
11,0.918
11,0.983
11,0.9
11,0.842
11,0.849
11,0.959
11,0.832
11,0.962
11,0.908
11,0.956
11,0.906
12,0.55
12,0.524
12,0.482
12,0.601
12,0.555
12,0.505
12,0.521
12,0.519
12,0.39
12,0.794
12,0.548
12,0.516
12,0.605
12,0.628
12,0.607
12,0.607
12,0.691
12,0.652
12,0.541
12,0.751
13,0.931
13,1.029
13,1.128
13,1.109
13,1.177
13,1.146
13,1.035
13,1.015
13,1.124
13,0.971
13,0.935
13,0.984
13,1.383
13,1.4
13,1.056
13,0.981
13,0.874
13,1.041
13,1.07
13,1.055
14,1.069
14,1.142
14,1.014
14,1.004
14,1.074
14,1.011
14,0.934
14,1.037
14,1.118
14,1.12
14,0.978
14,1.033
14,1.09
14,0.923
14,1.001
14,1.011
14,0.941
14,0.902
14,0.867
14,0.948
15,0.898
15,1.001
15,0.992
15,1.009
15,1.071
15,0.865
15,0.972
15,1.056
15,0.822
15,0.744
15,0.953
15,0.973
15,0.965
15,0.97
15,0.931
15,1.102
15,0.981
15,0.891
15,0.981
15,1.062
16,0.907
16,0.805
16,0.601
16,0.86
16,0.812
16,0.984
16,0.765
16,0.914
16,0.969
16,1.078
16,0.995
16,0.955
16,0.728
16,0.723
16,0.845
16,0.856
16,1.054
16,1.045
16,0.707
16,1.031
17,0.944
17,1.03
17,1.096
17,1.075
17,1.086
17,0.953
17,1.22
17,1.361
17,0.904
17,0.9
17,0.985
17,1.121
17,1.099
17,1.132
17,0.907
17,0.902
17,1.06
17,1.032
17,0.969
17,1.021
18,0.932
18,1.149
18,0.985
18,0.955
18,0.799
18,0.813
18,0.868
18,0.848
18,0.964
18,0.968
18,0.857
18,0.887
18,0.976
18,0.971
18,1.124
18,0.988
18,0.803
18,0.88
18,0.942
18,0.888
19,0.961
19,1
19,1.033
19,1.112
19,0.971
19,0.947
19,0.967
19,0.999
19,1.252
19,1.102
19,1.18
19,1.119
19,1.055
19,0.965
19,1.141
19,1.078
19,1.038
19,1.089
19,1.026
19,1.161
20,0.945
20,1.002
20,0.811
20,0.687
20,0.571
20,0.559
20,0.545
20,0.48
20,0.443
20,0.462
20,0.445
20,0.894
20,0.603
20,0.462
20,0.59
20,0.685
20,0.681
20,0.755
20,0.526
20,0.64
